phon	members
debyskE	débusquaient débusquait
deby	début débuts
debyt@	débutant débutants
debyt@t	débutante débutantes
debakl	débâcle débâcles
dekad	décade décades
dekad@	décadent décadents
dekad@t	décadente décadentes
dekadi	décadi décadis
dekafeine	décaféiné décaféinée
dekalaZ	décalage décalages
dekalsifje	décalcifié décalcifiée
dekalkomani	décalcomanie décalcomanies
dekal	décale décalent
dekalitR	décalitre décalitres
dekalkE	décalquai décalquait
dekalk	décalque décalques
dekamEtR	décamètre décamètres
dekanije	décaniller décanillez
dek@t	décante décantent
dekapE	décapais décapait
dekap@	décapant décapants
dekapita	décapita décapitât
dekapitasj§	décapitation décapitations
dekapit	décapite décapitent
dekapit°RE	décapiterai décapiterait
dekapotabl	décapotable décapotables
dekaRkasE	décarcassais décarcassait
dekaRpije	décarpiller décarpillé
dekaRad	décarrade décarrades
dekatl§	décathlon décathlons
dekati	décati décatis
des@bR	décembre décembres
des@bRist	décembriste décembristes
des@s	décence décences
deseni	décennie décennies
des@tRe	décentrée décentrées
desEpsj§	déception déceptions
desERn	décerne décernent
des°vRa	décevra décevras
deS@tE	déchantai déchantait
deS@t	déchante déchantent
deS@te	déchanter déchanté
deSaR	déchard déchards
deSaRZa	déchargea déchargeât
deSaRZE	déchargeaient déchargeait
deSaRZ°RE	déchargerais déchargerait
deSaRn	décharne décharnent
deSosE	déchaussaient déchaussait
deSos	déchausse déchaussent
deSEna	déchaîna déchaînât
deSEn	déchaîne déchaînent
deSEn°m@	déchaînement déchaînements
deSEn°Ra	déchaînera déchaîneras
deSene	déchaînées déchaînés
deSe	décher déché
deSifRa	déchiffra déchiffrât
deSifRabl	déchiffrable déchiffrables
deSifR	déchiffre déchiffrent
deSik°tE	déchiquetaient déchiquetait
deSik°t9R	déchiqueteur déchiqueteurs
deSik°t2z	déchiqueteuse déchiqueteuses
deSiRa	déchira déchirât
deSiRaZ	déchirage déchirages
deSiR@	déchirant déchirants
deSiR@t	déchirante déchirantes
deSiR°m@	déchirement déchirements
deSiR°Ra	déchirera déchireras
deSiR°R§	déchirerons déchireront
deSiRyR	déchirure déchirures
deSe@s	déchéance déchéances
desibEl	décibel décibels
desida	décida décidât
desid°Ra	décidera décideras
desid°R§	déciderons décideront
desid9R	décideur décideurs
desigRam	décigramme décigrammes
desimE	décimaient décimait
desim°RE	décimerai décimerait
desizif	décisif décisifs
desizj§	décision décisions
desizjonEl	décisionnel décisionnelles
desiziv	décisive décisives
deklama	déclama déclamât
deklamasj§	déclamation déclamations
deklamatwaR	déclamatoire déclamatoires
dekl@S°Ra	déclanchera déclenchera
deklaRa	déclara déclarât
deklaRasj§	déclaration déclarations
deklaR°R§	déclarerons déclareront
dekl@Sa	déclencha déclenchât
dekl@S°R§	déclencherons déclencheront
dekl@S9R	déclencheur déclencheurs
dekl5	déclin déclins
deklinEz§	déclinaison déclinaisons
deklin@	déclinant déclinants
dekliv	déclive déclives
deklivite	déclivité déclivités
dekloz	déclose décloses
dekOS	décoche décochent
dekOksj§	décoction décoctions
dekodaZ	décodage décodages
dekOd	décode décodent
dekod9R	décodeur décodeurs
dekwaf	décoiffe décoiffes
dekwaf°RE	décoifferais décoifferait
dekw5s	décoince décoinces
dekolaZ	décollage décollages
dekolasj§	décollassions décollation
dekOl°m@	décollement décollements
dekOl°Ra	décollera décolleras
dekOl°RE	décollerai décollerait
dekOl°R§	décollerons décolleront
dekolER	décollèrent décolère
dekoloRE	décoloraient décolorait
dekoloRasj§	décoloration décolorations
dekolOR	décolore décolorent
dekoleRe	décolérer décoléré
dek§bR	décombre décombres
dekom@d	décommande décommandes
dek§p@se	décompenser décompensé
dek§poz	décompose décomposent
dek§poz°RE	décomposeraient décomposerait
dek§pozisj§	décomposition décompositions
dek§pRese	décompresser décompressé
dek§pREsj§	décompression décompressions
dek§t	décompte décomptes
dek§sERt@	déconcertant déconcertants
dek§sERt@t	déconcertante déconcertantes
dek§sERt	déconcerte déconcertent
dek§fi	déconfit déconfits
dek§fityR	déconfiture déconfitures
dekonaZ	déconnage déconnages
dekonEkt	déconnecte déconnectent
dekonEksj§	déconnection déconnexion
dekOn°RE	déconnerai déconnerais
dekon9R	déconneur déconneurs
dekonofOn	déconophone déconophones
dek§sEjE	déconseillai déconseillait
dek§sEj	déconseille déconseilles
dek§sideRE	déconsidéraient déconsidérait
dek§tamine	décontaminer décontaminé
dek§t°n@sE	décontenançaient décontenançait
dek§tRakt	décontract décontracte
dek§tRaktE	décontractaient décontractait
dek§v°ny	déconvenue déconvenues
dekoRa	décora décorât
dekoRat9R	décorateur décorateurs
dekoRatif	décoratif décoratifs
dekoRasj§	décoration décorations
dekoRativ	décorative décoratives
dekoRatRis	décoratrice décoratrices
dekORtikE	décortiquaient décortiquait
dekORtik	décortique décortiquent
dekuS	découche découches
dekuSe	découcher découché
dekulE	découlaient découlait
dekul	découle découlent
dekule	découler découlé
dekupaZ	découpage découpages
dekup9R	découpeur découpeurs
dekupyR	découpure découpures
dekuRaZa	découragea décourageât
dekuRaZ@	décourageant décourageants
dekuRaZ@t	décourageante décourageantes
dekuRaZ°m@	découragement découragements
dekuRaZ°RE	découragerais découragerait
dekuRone	découronné découronnés
dekuvER	découvert découverts
dekuvERt	découverte découvertes
dekuvR9R	découvreur découvreurs
dekuvRiR	découvrir découvrirent
dekuvRiRa	découvrira découvriras
dekuvRiR§	découvrirons découvriront
dekuvRis	découvrisse découvrissent
dekRE	décret décrets
dekRiRa	décrira décriras
dekRispe	décrisper décrispé
dekRit	décrite décrites
dekRivi	décrivis décrivit
dekRoSaZ	décrochage décrochages
dekROS	décroche décrochent
dekROS°m@	décrochement décrochements
dekROS°Ra	décrochera décrocheras
dekRwasE	décroissaient décroissait
dekRwas@	décroissant décroissants
dekRwas@t	décroissante décroissantes
dekRwas	décroisse décroissent
dekROt	décrotte décrottent
dekRipt9R	décrypteur décrypteurs
dekRedibilize	décrédibiliser décrédibilisez
dekRepit	décrépite décrépites
dekylpabilize	déculpabiliser déculpabilisé
dekyplE	décuplaient décuplait
dekypl	décuple décuplent
desEd	décède décèdent
deseleRe	décélérer décélérez
dedENa	dédaigna dédaignât
dedEN2z	dédaigneuse dédaigneuses
ded5	dédain dédains
dedal	dédale dédales
dedjE	dédiaient dédiait
dedikas	dédicace dédicaces
dedikatwaR	dédicatoire dédicatoires
dediRE	dédierai dédierait
dedomaZ	dédommage dédommagent
dedomaZ°m@	dédommagement dédommagements
dedomaZ°RE	dédommagerai dédommagerait
dedyktibl	déductible déductibles
dedyksj§	déduction déductions
ded8izE	déduisaient déduisait
ded8iz	déduise déduisent
ded8it	déduite déduites
deEs	déesse déesses
defajE	défaillais défaillait
defaj@s	défaillance défaillances
defaj@	défaillant défaillants
defaj@t	défaillante défaillantes
defaj	défaille défaillent
defEt	défaite défaites
defetist	défaitiste défaitistes
defaRge	défarguer défargué
defo	défaut défauts
defavoRabl	défavorable défavorables
defEksj§	défection défections
defEkt82z	défectueuse défectueuses
def@d9R	défendeur défendeurs
def@dRa	défendra défendras
def@dR§	défendrons défendront
def@s	défense défenses
def@s9R	défenseur défenseurs
def@sif	défensif défensifs
def@siv	défensive défensives
def°Ra	défera déferas
defERla	déferla déferlât
defERlE	déferlaient déferlait
defERl@t	déferlante déferlantes
defERl	déferle déferlent
defERl°m@	déferlement déferlements
defERl°RE	déferleraient déferlerait
def°R§	déferons déferont
defj@s	défiance défiances
defibRilat9R	défibrillateur défibrillateurs
defisj@s	déficience déficiences
defisj@	déficient déficients
defisj@t	déficiente déficientes
defisit	déficit déficits
defisitER	déficitaire déficitaires
defigyRasj§	défiguration défigurations
defigyR	défigure défigurent
defil@	défilant défilants
defil	défile défilent
defil°m@	défilement défilements
defil°Ra	défilera défileras
defil°RE	défileraient défilerait
defil°R§	défilerons défileront
definiRE	définirais définirait
definisabl	définissable définissables
definisE	définissaient définissait
definis	définisse définissent
definitif	définitif définitifs
definisj§	définition définitions
definitiv	définitive définitives
deflagRasj§	déflagration déflagrations
deflEkt9R	déflecteur déflecteurs
def§s	défonce défoncent
def§s°m@	défoncement défoncements
defORmE	déformaient déformait
defORm@	déformant déformants
defORm@t	déformante déformantes
defORmasj§	déformation déformations
defORm°RE	déformerai déformerait
defule	défouler défoulés
defuRaj	défouraille défouraillent
defuRaje	défourailler défouraillé
defREm@	défraiement défraiements
defREjE	défrayaient défrayait
defReje	défrayer défrayé
defRiS°m@	défrichement défrichements
defR5g	défringue défringues
defRipe	défripé défripées
defRizE	défrisaient défrisait
defRiz	défrise défrises
defRize	défriser défrisé
defRwas	défroisse défroissent
defROk	défroque défroques
def1	défunt défunts
def1t	défunte défuntes
def1te	défunter défunté
defekasj§	défécation défécations
defeke	déféquer déféqué
defeR@t	déférente déférentes
degaZa	dégagea dégageât
degaZ°m@	dégagement dégagements
degEnE	dégainais dégainait
deZ°la	dégela dégelât
deZ°lE	dégelai dégelait
deZivRe	dégivrer dégivré
degl5gE	déglinguaient déglinguait
degl5g	déglingue déglinguent
deglytisj§	déglutition déglutitions
degobijE	dégobillaient dégobillait
degwazE	dégoisais dégoisait
degOm	dégomme dégomment
degORZ	dégorge dégorgent
degOt°Ra	dégoteras dégottera
degulinad	dégoulinade dégoulinades
degulin@	dégoulinant dégoulinants
degulin@t	dégoulinante dégoulinantes
degulin°m@	dégoulinement dégoulinements
deguRdisE	dégourdissais dégourdissait
degu	dégoût dégoûts
deguta	dégoûta dégoûtât
degutasj§	dégoûtation dégoûtations
degRadE	dégradaient dégradait
degRad@	dégradant dégradants
degRad@t	dégradante dégradantes
degRadasj§	dégradation dégradations
degRafa	dégrafa dégrafât
degRafE	dégrafaient dégrafait
degREs	dégraisse dégraissent
degR5golad	dégringolade dégringolades
degR5gOl	dégringole dégringolent
degR5gOl°RE	dégringoleraient dégringolerais
degRiza	dégrisa dégrisât
degREv°m@	dégrèvement dégrèvements
dEg°nije	déguenillé déguenillés
deg°nije	déguenillée déguenillées
degERpiR	déguerpir déguerpirent
degERpis	déguerpisse déguerpissent
deg2	dégueu dégueus
deg2lE	dégueulais dégueulait
deg2las	dégueulasse dégueulasses
deg2las°Ri	dégueulasserie dégueulasseries
degiz°m@	déguisement déguisements
degystat9R	dégustateur dégustateurs
degystasj§	dégustation dégustations
degyst	déguste dégustent
degyst°Ra	dégustera dégusteras
dega	dégât dégâts
deZenER	dégénère dégénèrent
deZeneRa	dégénéra dégénérât
deZeneRE	dégénéraient dégénérait
deZeneRes@s	dégénérescence dégénérescences
deale	déhaler déhalées
de@SE	déhanchaient déhanchait
de@S	déhanche déhanchent
de@S°m@	déhanchement déhanchements
deisid	déicide déicides
deite	déité déités
deZEksj§	déjection déjections
dEZ°te	déjeté déjetée
deZ9na	déjeuna déjeunât
deZ9n°Ra	déjeunera déjeuneras
deZu	déjoue déjouent
deZyZe	déjuger déjugé
delas	délace délasse
delEs°m@	délaissement délaissements
delasa	délassa délaça
delas@	délassant délaçant
delat9R	délateur délateurs
delasj§	délation délations
delav	délave délavent
delej	délaye délayent
delEktabl	délectable délectables
delEktasj§	délectation délectations
deljE	déliaient déliait
delibER	délibère délibèrent
delibeRE	délibéraient délibérait
delibeRasj§	délibération délibérations
delika	délicat délicats
delikat	délicate délicates
delikatEs	délicatesse délicatesses
delis	délice délices
delisj2z	délicieuse délicieuses
delikt82z	délictueuse délictueuses
deliRa	délieras délira
delimitasj§	délimitation délimitations
delimit	délimite délimitent
del5k@s	délinquance délinquances
del5k@	délinquant délinquants
del5k@t	délinquante délinquantes
delikes@	déliquescent déliquescents
deliR@	délirant délirants
deliR@t	délirante délirantes
delit	délite délitent
delivRa	délivra délivrât
delivR@s	délivrance délivrances
delivR	délivre délivrent
delivR°Ra	délivrera délivreras
delivR°R§	délivrerons délivreront
delOkalize	délocaliser délocalisé
deloZa	délogea délogeât
delOk	déloque déloques
delwajal	déloyal déloyale
delwajote	déloyauté déloyautés
delyZ	déluge déluges
delegasj§	délégation délégations
delega	délégua déléguât
delegE	déléguaient déléguait
deleg°RE	déléguerai délégueraient
deletER	délétère délétères
demagoZik	démagogique démagogiques
demagOg	démagogue démagogues
demaje	démailler démaillée
demajote	démailloter démailloté
dem@Se	démancher démanché
dem@Z	démange démangent
dem@tibyl	démantibule démantibulent
dem@tEl	démantèle démantèlent
dem@tEl°m@	démantèlement démantèlements
demaRS	démarche démarches
demaRS9R	démarcheur démarcheurs
demaRje	démarier démariée
demaRa	démarra démarrât
demaRaZ	démarrage démarrages
demaR9R	démarreur démarreurs
demask	démasque démasquent
demask°RE	démasquerai démasquerait
demask°R§	démasquerons démasqueront
demateRjaliz	dématérialise dématérialisent
demateRijalize	dématérialiser dématérialisé
dem@bR°m@	démembrement démembrements
dem@tE	démentaient démentait
dem@tiRE	démentirai démentirait
dem°ne	démené démenée
demERdaR	démerdard démerdards
demERd°Ra	démerdera démerderas
dem°zyR	démesure démesurent
demE	démet démets
dem9ble	démeublé démeublée
demilitaRize	démilitarisée démilitarisées
demin9R	démineur démineurs
demi	démis démit
demiz	démise démises
demisj§	démission démissions
demisjonER	démissionnaire démissionnaires
demisjOn°Ra	démissionnera démissionneras
demjyRZ	démiurge démiurges
demokRat	démocrate démocrates
demokRatkRetj5	démocrate-chrétien démocrates-chrétiens
demokRasi	démocratie démocraties
demokRatik	démocratique démocratiques
demokRatizasj§	démocratisation démocratisations
demodylat9R	démodulateur démodulateurs
demogRafik	démographique démographiques
demoliR	démolir démolirent
demolis9R	démolisseur démolisseurs
dem§	démon démons
demOn	démone démones
demonjak	démoniaque démoniaques
dem§stRat9R	démonstrateur démonstrateurs
dem§stRatif	démonstratif démonstratifs
dem§stRasj§	démonstration démonstrations
dem§tabl	démontable démontables
dem§taZ	démontage démontages
dem§tE	démontaient démontait
dem§t	démonte démontent
dem§tpn2	démonte-pneu démonte-pneus
dem§tRa	démontra démontrât
dem§tR	démontre démontrent
dem§tR°RE	démontrerai démontrerait
dem§tR°R§	démontrerons démontreront
demonetize	démonétisé démonétisés
demoRaliz@	démoralisant démoralisants
demoRaliz	démoralise démoralisent
demoRaliz°RE	démoraliseraient démoraliserais
demOR	démord démords
demORdRE	démordrai démordrait
demOtive	démotiver démotivée
demul	démoule démoules
demyltiplijE	démultipliaient démultipliait
demyltipli	démultiplie démultiplient
demistifikasj§	démystification démystifications
demistifje	démystifier démystifié
demenaZ°m@	déménagement déménagements
demenaZ°Ra	déménagera déménageras
demenaZ9R	déménageur déménageurs
demeRit	démérite démérites
demeRite	démériter démérité
demEl	démêle démêlent
denatyRE	dénaturaient dénaturait
denatyR	dénature dénaturent
denEZe	déneiger déneigé
denjE	déniaient déniait
denjEza	déniaisa déniaisas
deniS	déniche dénichent
deniS°Ra	dénichera dénicheras
deniS9R	dénicheur dénicheurs
denje	dénier dénié
denigRE	dénigrais dénigrait
denigR°m@	dénigrement dénigrements
denivElasj§	dénivellation dénivellations
deniv°le	dénivelé dénivelés
den§bR	dénombre dénombrent
den§bR°m@	dénombrement dénombrements
denominasj§	dénomination dénominations
denomE	dénommaient dénommait
den§s°Ra	dénoncera dénonceras
den§sjasj§	dénonciation dénonciations
den§sa	dénonça dénonçât
denotE	dénotaient dénotait
denOt	dénote dénotent
denote	dénoter dénoté
denwa	dénoua dénouât
denwE	dénouaient dénouait
denu	dénoue dénouent
denum@	dénouement dénouements
denydE	dénudaient dénudait
denyd	dénude dénudent
denegasj§	dénégation dénégations
deodoR@	déodorant déodorants
de§toloZik	déontologique déontologiques
depaje	dépaillée dépaillées
depanaZ	dépannage dépannages
depanE	dépannaient dépannait
depan	dépanne dépannent
depan°RE	dépannerais dépannerait
depan9R	dépanneur dépanneurs
depan2z	dépanneuse dépanneuses
depaRE	déparaient déparait
depaREjE	dépareillaient dépareillait
depaRe	déparer déparé
depaRtaZe	départager départagé
depaRt°m@	département départements
depaRtiR	départir départirent
depasa	dépassa dépassât
depas°m@	dépassement dépassements
