src	dst	hops	quality	chain
blues	chemise	4	0.963	en:blues ≈ fr:blouse ~ fr:chemises ≈ en:chemise ~ fr:chemise
blues	chemises	2	0.926	en:blues ≈ fr:blouse ~ fr:chemises
boarded	bot	3	0.817	en:boarded ~ en:boarding ≈ fr:bottines ~ fr:bot
boarder	bond	3	0.919	en:boarder ~ en:boarders ≈ fr:bond aise ~ fr:bond
boarder	bond aise	2	0.937	en:boarder ~ en:boarders ≈ fr:bond aise
boarders	body	2	0.958	en:boarders ~ en:boarder ≈ fr:body
boarders	bond	2	0.906	en:boarders ≈ fr:bond aise ~ fr:bond
boarding	bond	3	0.851	en:boarding ~ en:boarders ≈ fr:bond aise ~ fr:bond
boarding	bot	3	0.812	en:boarding ~ en:boarded ≈ fr:bottines ~ fr:bot
boarding	bond aise	2	0.835	en:boarding ~ en:boarders ≈ fr:bond aise
bonding	met aide	6	0.924	en:bonding ≈ fr:ban digne ~ fr:brin digne ≈ en:branding ~ en:branded ≈ fr:prennent aide ~ fr:met aide
bonding	fait aide	6	0.923	en:bonding ≈ fr:ban digne ~ fr:brin digne ≈ en:branding ~ en:branded ≈ fr:prennent aide ~ fr:fait aide
bonding	laissent aide	6	0.922	en:bonding ≈ fr:ban digne ~ fr:brin digne ≈ en:branding ~ en:branded ≈ fr:prennent aide ~ fr:laissent aide
boo	rouillé	6	0.952	en:boo ≈ fr:bouts ~ en:wrest ≈ fr:reste ~ fr:rester ≈ en:rusty = fr:rouillé
