word	variant	zipf
restoring	restored	4.12
restoring	restore	4.18
restoring	restores	3.05
restricted	restricts	3.12
restricted	restrict	3.80
restricted	restricting	3.52
result	resulted	4.37
result	resulting	4.48
result	results	5.23
retention	retentions	1.70
retreat	retreating	3.27
retreat	retreats	3.16
retreat	retreated	3.38
retrieve	retrieved	3.80
retrieve	retrieves	2.50
retrieve	retrieving	3.02
retrieved	retrieves	2.50
retrieved	retrieve	3.69
retrieved	retrieving	3.02
richer	rich	4.91
richer	richest	3.70
richest	rich	4.91
richest	richer	3.71
rooted	roots	4.34
rooted	rooting	3.55
rooted	root	4.41
routers	router	3.50
ruby	rubies	2.83
saddle	saddled	2.94
saddle	saddling	2.13
saddle	saddles	2.89
scattered	scatter	3.39
scattered	scatters	2.43
scattered	scattering	3.40
season	seasoned	3.51
season	seasons	4.52
season	seasoning	3.28
seat em	seats em	4.53
seat em	seating em	3.77
seat em	seated em	3.89
seated	seat	4.82
seated	seats	4.53
seated	seating	3.77
seating	seat	4.82
seating	seats	4.53
seating	seated	3.89
secede	seceding	2.21
secede	seceded	2.47
secede	secedes	1.55
secretary	secretaries	3.50
seeded	seed	4.37
seeded	seeding	3.21
seeded	seeds	4.28
seizes	seized	4.03
seizes	seize	3.80
seizes	seizing	3.32
semester	semesters	3.00
senator	senators	4.10
sender	senders	2.35
sending	send	5.11
sending	sends	4.15
sending	sent	5.16
senses	sensed	3.32
senses	sense	5.19
senses	sensing	3.64
sensitive	sensitives	1.57
sensor	sensors	3.93
sensors	sensor	3.92
sentry	sentries	2.73
separated	separates	3.57
separated	separating	3.69
separated	separate	4.83
setting	settings	4.23
setting	sets	4.69
setting	set	5.59
settle	settling	3.85
settle	settled	4.44
settle	settles	3.39
settled	settling	3.85
settled	settle	4.37
settled	settles	3.39
settler	settlers	3.75
settlers	settler	3.15
settling	settles	3.39
settling	settled	4.44
settling	settle	4.37
setup	setups	2.92
sexy	sexier	2.95
sexy	sexiest	3.22
shattered	shatter	3.22
shattered	shatters	2.80
shattered	shattering	3.31
shelters	sheltered	3.48
shelters	sheltering	2.89
shelters	shelter	4.25
shit your	shitted your	2.01
shit your	shits your	3.64
shit your	shitting your	3.40
shit your	shat your	2.75
shoot ease	shoot eased	3.25
shoot ease	shot ease	5.22
shoot ease	shoot easing	3.25
shoot ease	shooting ease	4.78
shoot ease	shoots ease	3.96
shoot ease	shoot eases	2.93
shoot esse	shot esse	5.22
shoot esse	shooting esse	4.78
shoot esse	shoots esse	3.96
shoot iffy	shoots iffy	3.96
shoot iffy	shoot iffiest	0.00
shoot iffy	shooting iffy	4.78
shoot iffy	shot iffy	5.22
shoot iffy	shoot iffier	0.00
shooters	shooter	4.05
shooting	shoot	4.73
shooting	shot	5.22
shooting	shootings	3.69
shooting	shoots	3.96
