word	variant	zipf
books	book	3.74
booms	boom	3.85
bootlegs	bootleg	2.02
bora	borax	2.14
bord	bords	4.11
bord	bordée	3.39
bord	bordé	3.24
bord	borde	3.23
bord	border	3.21
bord	bordées	2.96
bord	bordent	2.95
bord	bordant	2.91
bord	bordes	2.72
bord	bordés	2.65
bord	bordas	2.62
bord	borda	2.40
borde	bordé	3.24
borde	border	3.21
borde	bordent	2.95
borde	bordant	2.91
borde	bordes	2.72
borde	borda	2.40
borde	bordait	2.12
borde	bordez	1.07
bordes	borde	3.23
bords	bord	4.98
bore	bora	3.16
borer	bora	3.16
borer	bore	2.77
borer	borée	2.14
borg	borges	2.80
borie	bories	2.05
bories	borie	2.39
born	bornes	4.07
born	borne	3.84
born	borné	3.21
born	bornée	2.86
born	bornés	2.76
born	borner	2.55
born	borna	2.32
born	bornant	2.30
born	bornent	2.21
born	bornées	2.08
born	bornait	1.96
born	bornaient	1.37
borne	bornes	4.07
borne	borné	3.21
borne	borner	2.55
borne	borna	2.32
borne	bornant	2.30
borne	bornent	2.21
borne	bornait	1.96
borne	bornez	1.27
borner	bornes	4.07
borner	borne	3.84
borner	borné	3.21
borner	bornée	2.86
borner	bornés	2.76
borner	borna	2.32
borner	bornant	2.30
borner	bornent	2.21
borner	bornées	2.08
borner	bornait	1.96
borner	bornerai	1.47
borner	bornaient	1.37
bornes	borne	3.84
borné	bornée	2.86
borné	bornés	2.76
borné	bornées	2.08
bornée	bornées	2.08
bornées	bornée	2.86
bornés	borné	3.21
boréale	boréales	2.96
boréales	boréale	3.00
boss	bosser	4.22
boss	bosse	4.18
boss	bosses	3.66
boss	bossé	3.62
boss	bossent	3.23
boss	bossait	2.99
boss	bos	2.95
boss	bossant	2.62
boss	bossez	2.53
boss	bossa	2.52
boss	bossaient	2.14
boss	bossons	1.96
bosse	bosser	4.22
bosse	bosses	3.66
bosse	bossé	3.62
bosse	bossent	3.23
bosse	bossait	2.99
bosse	bossant	2.62
bosse	bossez	2.53
bosse	bossa	2.52
bosser	bosse	4.18
bosser	bosses	3.66
bosser	bossé	3.62
bosser	bossent	3.23
bosser	bossait	2.99
bosser	bossant	2.62
bosser	bossez	2.53
bosser	bossa	2.52
bosser	bossaient	2.14
bosser	bossons	1.96
bosser	bosserai	1.83
bosser	bossera	1.81
bosses	bosse	4.18
bosson	bossons	1.96
bossons	bosson	1.82
bote	bota	2.08
botes	bote	2.08
botta	bottas	2.71
botte	bottes	4.01
botte	botté	3.02
botte	botter	2.95
botte	botta	2.24
botte	bottent	1.75
botte	bottait	1.42
botte	bottez	1.11
botter	bottes	4.01
botter	botte	3.61
botter	botté	3.02
botter	botta	2.24
botter	bottés	1.88
botter	bottent	1.75
botter	bottée	1.62
botter	bottait	1.42
botter	botterait	1.36
botter	bottez	1.11
botter	botterons	0.00
botter	botterai	0.00
bottes	botte	3.61
botté	bottés	1.88
botté	bottée	1.62
botté	bottées	0.00
bou	boue	3.90
bou	bouée	3.20
bou	boues	3.20
bou	bouées	2.83
bou	bous	2.50
bou	boué	2.32
boubou	boubous	1.74
boubous	boubou	2.61
bouc	boucs	2.92
boucherie	boucheries	2.77
boucs	bouc	3.60
bouddha	bouddhas	2.46
bouddhas	bouddha	3.61
bouddhiste	bouddhistes	3.25
bouddhistes	bouddhiste	3.32
boude	bouder	3.05
boude	boudé	2.64
boude	boudent	2.61
boude	boudes	2.19
boude	boudait	1.98
boude	bouda	1.97
boude	boudez	1.87
bouder	boude	2.95
bouder	boudé	2.64
bouder	boudent	2.61
bouder	boudes	2.19
bouder	boudait	1.98
bouder	bouda	1.97
bouder	boudée	1.92
bouder	boudez	1.87
bouder	boudés	1.81
bouder	boudaient	1.21
bouder	bouderait	0.00
bouder	bouderai	0.00
boudes	boude	2.95
boudoir	boudoirs	1.93
boudoirs	boudoir	2.88
boudé	boudée	1.92
boudé	boudés	1.81
boue	boues	3.20
boue	boué	2.32
boues	boue	3.90
boulos	boulo	2.00
boum	boums	1.76
boum	boume	1.28
boum	boumaient	0.00
boum	boumait	0.00
boume	boumait	0.00
boumes	boume	1.28
boums	boum	3.61
bouquet	bouquets	3.28
bouquets	bouquet	3.89
bourgeoisie	bourgeoisies	1.91
bourgeoisies	bourgeoisie	3.82
bous	bou	3.41
bous	bouse	2.98
bous	bouses	2.44
bouse	bouses	2.44
bouses	bouse	2.98
bout	boutons	3.99
bout	bouts	3.83
bout	boute	2.69
bout	bouter	2.50
bout	bouté	2.23
bout	boutant	2.10
bout	boutés	1.74
bout	boutée	1.49
bout	boutées	0.00
boute	bouter	2.50
boute	bouté	2.23
boute	boutant	2.10
boutique	boutiques	4.02
boutique	boutiqué	0.00
boutique	boutiquer	0.00
boutiquer	boutique	4.36
boutiquer	boutiques	4.02
boutiquer	boutiqué	0.00
boutiques	boutique	4.36
bouts	bout	5.13
box	boxe	3.96
box	boxer	3.28
box	boxes	2.78
box	boxé	2.05
box	boxait	1.36
box	boxent	1.35
box	boxaient	0.00
box	boxés	0.00
box	boxons	0.00
box	boxez	0.00
boxe	boxer	3.28
boxe	boxes	2.78
boxe	boxé	2.05
boxe	boxait	1.36
boxe	boxent	1.35
boxe	boxez	0.00
boxes	boxe	3.96
bra	bras	5.02
brac	brace	2.19
bracelet	bracelets	3.60
brack	bracke	2.17
brad	brader	2.61
brad	brade	2.39
brad	bradé	2.39
brad	bradent	1.80
brad	bradée	1.74
brad	bradaient	0.00
brad	bradait	0.00
brade	brader	2.61
brade	bradé	2.39
brade	bradent	1.80
brade	bradait	0.00
braguette	braguettes	1.52
brahm	brahms	2.90
brahm	brahma	2.32
brak	brake	2.34
bram	brame	2.38
bram	bramer	1.72
bram	brames	1.60
bram	bramé	0.00
bram	bramait	0.00
bram	bramaient	0.00
bram	bramées	0.00
bram	brament	0.00
brame	bramer	1.72
brame	brames	1.60
